Nombre;Muestra;Cod. Hex.;R;G;B;H;S;V
Rojo (web) (sRGB);;#FF0000;255;0;0;0°;100%;100%
Rojo;;#E60026;230;0;38;350°;100%;90%
Almagre;;#DC2339;220;35;57;353°;84%;86%
Bermejo;;#D22C21;210;44;33;4°;84%;82%
Bermellón;;#E62E00;230;46;0;12°;100%;90%
Bermellón de China;;#B21A27;178;26;39;355°;85%;70%
Bermellón de Holanda;;#E62E11;230;46;17;8°;93%;90%
Carmesí;;#E51A4C;229;26;76;345°;89%;90%
Carmín;;#D10047;209;0;71;340°;100%;82%
Carmín (pictórico);;#C30B4E;195;11;78;338°;94%;76%
Carmín de alizarina;;#A11C55;161;28;85;334°;83%;63%
Vino (fucsia oscuro) (sRGB);;#800040;128;0;64;330°;100%;50%
Coral (rojo claro) (sRGB);;#FF8080;255;128;128;0°;50%;100%
Coral;;#E51D2E;229;29;46;355°;87%;90%
Escarlata;;#E30032;227;0;50;347°;100%;89%
Escarlata Gobelinos;;#BD002F;189;0;47;345°;100%;74%
Frambuesa;;#E61D52;230;29;82;344°;87%;90%
Granate (web) (rojo oscuro) (sRGB);;#800000;128;0;0;0°;100%;50%
Granate;;#AA1C47;170;28;71;342°;84%;67%
Grana;;#AB2A3E;195;16;58;346°;92%;76%
Hematita roja;;#D4442F;212;68;47;8°;78%;83%
Hígado;;#891E35;137;30;53;347°;78%;54%
Rojo persa;;#CB1D11;203;29;17;4°;92%;80%
Tomate;;#D5303E;213;48;62;355°;77%;84%
Rojo naranja o bermellón (sRGB);;#FF4000;255;64;0;15°;100%;100%
Rojo anaranjado;;#E82300;232;35;0;9°;100%;91%
Rojo naranja;;#E73C00;231;60;0;16°;100%;91%
Naranja rojizo;;#E95400;233;84;0;22°;100%;91%
Salmón (rojo naranja claro) (sRGB);;#FF9F80;255;159;128;15°;50%;100%
Naranja (sRGB);;#FF8000;255;128;0;30°;100%;100%
Naranja;;#E65F00;230;95;0;25°;100%;90%
Ámbar;;#E2893A;226;137;58;28°;74%;89%
Amarillo indio;;#FF7430;255;116;48;20°;81%;100%
Calabaza (específico);;#EDAA7C;237;170;124;24°;48%;93%
Calabaza (inespecífico);;#D99343;217;147;67;32°;69%;85%
Naranja caqui (específico);;#F38D3C;243;141;60;27°;75%;95%
Naranja caqui (inespecífico);;#E25F23;226;95;35;19°;85%;89%
Dorado;;#E49E56;228;158;86;30°;62%;89%
Llama;;#F98F1D;249;143;29;31°;88%;98%
Melón (naranja claro) (sRGB);;#FFBF80;255;191;128;30°;50%;100%
Melón;;#FFB888;255;184;136;24°;47%;100%
Melón;;#FFA971;255;169;113;24°;100%;72%
Damasco o albaricoque;;#FBCEB1;251;206;177;24°;29%;98%
Damasco o albaricoque;;#FAB57F;250;181;127;26°;49%;98%
Durazno o melocotón;;#FFE5B4;255;229;180;40°;29%;100%
Marrón (naranja oscuro) (sRGB);;#804000;128;64;0;30°;100%;50%
Marrón (inespecífico);;#67403A;103;64;58;8°;44%;40%
Pardo;;#996B42;153;107;66;28°;57%;60%
Beis o beige (ámbar grisáceo claro) (sRGB);;#DFCF9F;223;207;159;45°;29%;87%
Arena;;#ECE2C6;236;226;198;44°;16%;93%
Ante;;#BA7C45;186;124;69;28°;63%;73%
Beis o beige (inespecífico);;#E8C39E;232;195;158;30°;32%;91%
Blanco navajo;;#EBE1C9;235;225;201;42°;14%;92%
Café;;#591F0B;89;31;11;15°;88%;35%
Marrón café;;#694C41;105;76;65;17°;38%;41%
Caoba (específico);;#A5665D;165;102;93;8°;44%;65%
Caoba (inespecífico);;#A44850;164;72;80;355°;56%;64%
Caqui (específico);;#E0D8B0;224;216;176;50°;21%;88%
Caqui (inespecífico);;#DFC38A;223;195;138;40°;38%;87%
Canela o canelo;;#8D4925;141;73;37;21°;74%;55%
Castaña o castaño;;#773525;119;53;37;12°;69%;47%
Chocolate;;#7A2E11;122;46;17;17°;86%;48%
Gamuza;;#E6B57E;230;181;126;32°;45%;90%
Herrumbre;;#A2522B;162;82;43;20°;73%;64%
León o leonado;;#BC8648;188;134;72;32°;62%;74%
Ocre;;#B9935A;185;147;90;36°;51%;73%
Ocre amarillo (específico);;#D1974D;209;151;77;34°;63%;82%
Ocre amarillo (pictórico);;#B5783A;181;120;58;30°;68%;71%
Ocre rojo;;#7D3F32;125;63;50;10°;60%;49%
Ocre pardo;;#5F3F3E;95;63;62;2°;35%;37%
Ocre pardo oscuro;;#4B382F;75;56;47;19°;37%;29%
Ocre oro;;#573F25;87;63;37;31°;57%;34%
Ocre dorado;;#C97E28;201;126;40;32°;80%;79%
Ocre dorado tostado;;#9A6619;154;102;25;36°;84%;60%
Ocre carne;;#874639;135;70;57;10°;58%;53%
Rojo toscano;;#79443B;121;68;59;9°;51%;47%
Rojo Falun;;#7C342B;124;52;43;7°;65%;49%
Rojo veneciano;;#6E433C;110;67;60;8°;45%;43%
Rufo;;#CB6D51;203;109;81;14°;60%;80%
Secuoya;;#8A5754;138;87;84;3°;39%;54%
Sepia (específico);;#663B2A;102;59;42;17°;59%;40%
Sepia (pictórico);;#524B3B;82;75;59;42°;28%;32%
Marrón sepia;;#5C5343;92;83;67;38°;27%;36%
Siena;;#C58A3E;197;138;62;34°;69%;77%
Siena tostada;;#8E372E;142;55;46;6°;68%;56%
Tierra de Treviso;;#823A3F;130;58;63;356°;55%;51%
Wengué;;#3D2E2C;61;46;44;7°;28%;24%
Almendra;;#C19A6B;193;154;107;33°;45%;76%
Avellana;;#B48969;180;37;105;26°;42%;71%
Barbecho;;#C19A6B;193;154;107;33°;45%;76%
Beige o beis (inespecífico, otro);;#E8C39E;232;195;158;30°;32%;91%
Bisonte;;#6C541E;108;84;30;42°;72%;42%
Bistre marrón;;#967117;150;113;23;43°;85%;59%
Bronce;;#CD7F32;205;127;50;30°;76%;80%
Café;;#3F2212;63;34;18;21°;75%;25%
Camello;;#C19A6B;193;154;107;33°;45%;76%
Canela;;#BD8A3E;189;138;62;36°;67%;74%
Caoba;;#C04000;192;64;0;20°;100%;75%
Caramelo;;#AE6938;174;105;56;25°;68%;68%
Caramelo;;#A67B5B;166;123;91;26°;45%;65%
Cobre;;#CB6E51;203;110;81;14°;60%;80%
Cobrizo;;#B87333;184;115;51;29°;72%;72%
Chocolate;;#592E0B;89;46;11;27°;88%;35%
Habano;;#844E34;132;78;52;20°;61%;52%
Herrumbre;;#A2522B;162;82;43;20°;73%;64%
Kalua;;#B78E5B;183;142;91;33°;50%;71%
Latón;;#AB9144;171;145;68;45°;60%;67%
León;;#BC8648;188;134;72;32°;62%;74%
Marrón o café;;#6F4E37;111;78;55;25°;50%;44%
Marrón;;#804000;128;64;0;30°;100%;50%
Marrón;;#A05000;160;80;0;30°;100%;63%
Marrón cuero;;#97572B;151;87;43;24°;72%;59%
Marrón dorado;;#996515;153;101;21;36°;86%;60%
Miel;;#D29340;210;147;64;34°;70%;82%
Nogal;;#5D432C;93;67;44;28°;53%;36%
Pardo ocre;;#955F20;149;95;32;32°;79%;58%
Pardo verdoso;;#826C34;130;108;52;43°;60%;51%
Rojo indio;;#882D17;136;45;23;12°;83%;53%
Secuoya;;#8A5754;138;87;84;3°;39%;54%
Sepia;;#663B2A;102;59;42;17°;59%;40%
Siena;;#C58A3E;197;138;62;34°;69%;77%
Amarillo (web) (sRGB) (o Amarillo Hansa claro);;#FFFF00;255;255;0;60°;100%;100%
Amarillo;;#FFE900;255;233;0;55°;100%;100%
Ámbar o Amarillo naranja (sRGB);;#FFBF00;255;191;0;45°;100%;100%
Aureolina o amarillo de cobalto;;#FFE661;255;230;97;51°;62%;100%
Amarillo Hansa medio;;#FFDF00;255;233;0;52°;100%;100%
Amarillo Hansa oscuro;;#FCC300;252;195;0;46°;100%;99%
Amarillo Nápoles;;#ECCD6A;236;205;106;46°;55%;93%
Amarillo Nápoles oscuro;;#FFC94D;225;201;77;42°;70%;100%
Amarillo Nápoles claro;;#FFF6AD;225;246;173;53°;32%;100%
Amarillo Nápoles rojizo;;#F9BDA1;249;189;161;19°;35%;98%
Amarillo claro (sRGB);;#FFFF80;255;255;128;60°;50%;100%
Crema (ámbar claro) (sRGB);;#FFDF80;255;223;128;45°;50%;100%
Crema;;#FFF0C9;255;240;201;43°;21%;100%
Icterina;;#FFF65B;255;240;201;43°;21%;100%
Junquillo;;#EFD52E;239;213;46;52°;81%;94%
Limón;;#D9E542;217;229;66;64°;71%;90%
Limón (inespecífico);;#F5F35B;245;243;91;59°;63%;96%
Amarillo limón;;#FFF83B;255;248;59;58°;77%;100%
Dorado o oro (ámbar grisáceo) (sRGB);;#BF9F40;191;159;64;45°;67%;75%
Oro;;#E7AE18;231;174;24;43°;90%;91%
Amarillo melón;;#F4A900;244;169;0;42°;100%;96%
Verde amarillo o chartreuse (web) (sRGB);;#80FF00;128;255;0;90°;100%;100%
Amarillo verdoso o lima (sRGB);;#BFFF00;191;255;0;75°;100%;100%
Amarillo verdoso;;#DED700;222;215;0;58°;100%;87%
Verde amarillo;;#C6CE00;198;206;0;62°;100%;81%
Verde amarillento;;#75B313;117;179;19;83°;89%;70%
Verde oliva u oliva (web) (amarillo oscuro) (sRGB);;#808000;128;128;0;60°;100%;50%
Verde oliva;;#86895D;134;137;93;64°;32%;54%
Té verde;;#CFFDAF;207;253;175;95°;31%;99%
Chartreuse;;#B1B864;177;184;100;65°;46%;72%
Verde amarillo;;#C6CE00;198;206;0;62°;100%;81%
Verde manzana;;#8DB600;141;182;0;74°;100%;71%
Verde amarillento;;#75B313;117;179;19;83°;89%;70%
Palta o aguacate;;#568203;86;130;3;81°;98%;51%
Espinaca;;#4A5D23;74;93;35;80°;62%;36%
Verde (web) (sRGB);;#00FF00;0;255;0;120°;100%;100%
Verde;;#009150;0;145;80;153°;100%;57%
Esmeralda;;#009975;0;153;117;166°;100%;60%
Verde esmeralda (pictórico);;#00554E;0;85;78;175°;100%;33%
Verde ceniza (específico);;#5F7F7A;95;127;122;171°;25%;50%
Verde ceniza (pictórico);;#009872;0;152;114;165°;100%;60%
Verde Hooker 1;;#44944A;68;148;74;125°;54%;58%
Verde Hooker 2;;#3B7861;59;120;97;157°;51%;47%
